COD;DISCIPLINA;COD;ASSUNTO
1;Legislação de Trânsito;1;Introdução
1;Legislação de Trânsito;2;Código de trânsito brasileiro
1;Legislação de Trânsito;3;Direitos e deveres do cidadão no trânsito
1;Legislação de Trânsito;4;Sistema nacional de trânsito
1;Legislação de Trânsito;5;As vias
1;Legislação de Trânsito;6;Velocidade máxima nas vias
1;Legislação de Trânsito;7;Classificação geral dos veículos
1;Legislação de Trânsito;8;Identificação dos veículos
1;Legislação de Trânsito;9;Registro e licenciamento dos veículos
1;Legislação de Trânsito;10;Identificação e e habilitação do condutor
1;Legislação de Trânsito;11;Processo de habilitação
1;Legislação de Trânsito;12;Categorias de CNH
1;Legislação de Trânsito;13;Validade da CNH
1;Legislação de Trânsito;14;Normas gerais de circulação e conduta
1;Legislação de Trânsito;15;Trafegando
1;Legislação de Trânsito;16;Restrições de uso das vias
1;Legislação de Trânsito;17;Prioridade de passagem
1;Legislação de Trânsito;18;Mudanças de direção e manobras
1;Legislação de Trânsito;19;Cruzamentos
1;Legislação de Trânsito;20;Ultrapassagens
1;Legislação de Trânsito;21;Uso de luzes e buzina
1;Legislação de Trânsito;22;Reduzir, frear, parar e estacionar
1;Legislação de Trânsito;23;Normas de circulação para ciclos
1;Legislação de Trânsito;24;Normas de circulação para pedestres
1;Legislação de Trânsito;25;Acidentes 
1;Legislação de Trânsito;26;Crimes de trânsito
2;Infrações de Trânsito;27;Penalidades, medidas administrativas
2;Infrações de Trânsito;28;Condutor
2;Infrações de Trânsito;29;Habilitação
2;Infrações de Trânsito;30;Circulação
2;Infrações de Trânsito;31;Transitar
2;Infrações de Trânsito;32;Efetuar retorno e conversões
2;Infrações de Trânsito;33;Efetuar ultrapassagem
2;Infrações de Trânsito;34;Não dar passagem ou preferência
2;Infrações de Trânsito;35;Não reduzir
2;Infrações de Trânsito;36;Não parar
2;Infrações de Trânsito;37;Parar
2;Infrações de Trânsito;38;Estacionar
2;Infrações de Trânsito;39;Buzina e som
2;Infrações de Trânsito;40;Velocidade 
2;Infrações de Trânsito;41;Veículo - identificação e documentação
2;Infrações de Trânsito;42;Veículos
2;Infrações de Trânsito;43;Luzes e sinais
2;Infrações de Trânsito;44;Motocicleta, motoneta e ciclomotor
2;Infrações de Trânsito;45;Transportes e cargas
2;Infrações de Trânsito;46;Pedestres e veículos não motorizados
2;Infrações de Trânsito;47;Acidentes de trânsito
3;Sinalização de Trânsito;48;Resolução 160/04
3;Sinalização de Trânsito;49;Sinalização de regulamentação
3;Sinalização de Trânsito;50;Sinalização de advertência
3;Sinalização de Trânsito;51;Sinalização especial de advertência
3;Sinalização de Trânsito;52;Sinalização de indicação
3;Sinalização de Trânsito;53;Sinalização horizontal
3;Sinalização de Trânsito;54;Dispositivos auxiliares
3;Sinalização de Trânsito;55;Dispositivos de uso temporário
3;Sinalização de Trânsito;56;Sinalização semafórica
3;Sinalização de Trânsito;57;Sinalização de obras
3;Sinalização de Trânsito;58;Gestos dos agentes de trânsito
3;Sinalização de Trânsito;59;Gestos de condutores
3;Sinalização de Trânsito;60;Sinais sonoros
4;Direção Defensiva;61;Introdução, definição
4;Direção Defensiva;62;Negligência, imprudência, imperícia
4;Direção Defensiva;63;Elementos da direção ou pilotagem defensiva
4;Direção Defensiva;64;Conhecimento
4;Direção Defensiva;65;Condições adversas de iluminação
4;Direção Defensiva;66;Condições adversas de tempo
4;Direção Defensiva;67;Condições adversas das vias
4;Direção Defensiva;68;Condições adversas de trânsito
4;Direção Defensiva;69;Condições adversas do veículo
4;Direção Defensiva;70;Condições adversas de cargas
4;Direção Defensiva;71;Condições adversas de passageiros
4;Direção Defensiva;72;Condições adversas do condutor
4;Direção Defensiva;73;Álcool
4;Direção Defensiva;74;Drogas e medicamentos
4;Direção Defensiva;75;Sono e fadiga
4;Direção Defensiva;76;Atenção
4;Direção Defensiva;77;Previsão
4;Direção Defensiva;78;Habilidade
4;Direção Defensiva;79;Ação
4;Direção Defensiva;80;Acidentes
4;Direção Defensiva;81;Como evitar acidentes
4;Direção Defensiva;82;Evitando colisões com o veículo da frente
4;Direção Defensiva;83;Evitando colisões com o veículo de trás
4;Direção Defensiva;84;Evitando colisões com os demais veículos
4;Direção Defensiva;85;Evitando colisões com veículos em sentido contrário
4;Direção Defensiva;86;Evitando colisões em ultrapassagens
4;Direção Defensiva;87;Evitando colisões em curvas
4;Direção Defensiva;88;Evitando colisões em cruzamentos
4;Direção Defensiva;89;Evitando colisões em marcha à ré
4;Direção Defensiva;90;Veículos de pequeno porte X grande porte
4;Direção Defensiva;91;Evitando colisões de automóveis com motocicletas
4;Direção Defensiva;92;Evitando colisões com pedestres
4;Direção Defensiva;93;Evitando colisões com ciclistas
4;Direção Defensiva;94;Evitando colisões com animais
4;Direção Defensiva;95;Evitando colisões com elementos fixos
4;Direção Defensiva;96;Direção ou pilotagem defensiva nas rodovias
4;Direção Defensiva;97;Direção econômica
5;Primeiros Socorros;98;Acidentes
5;Primeiros Socorros;99;Quem deve prestar socorro às vítimas
5;Primeiros Socorros;100;Quais as primeiras providências?
5;Primeiros Socorros;101;Origem dos ferimentos
5;Primeiros Socorros;102;Atendendo às vítimas
5;Primeiros Socorros;103;Avaliação primária
5;Primeiros Socorros;104;A. desobstruir vias aéreas e controlar coluna cervical
5;Primeiros Socorros;105;B. verificar a respiração
5;Primeiros Socorros;106;C. verificar a circulação
5;Primeiros Socorros;107;D. verificar o estado de consciência
5;Primeiros Socorros;108;E. proteção da vítima
5;Primeiros Socorros;109;Manutenção dos sinais vitais
5;Primeiros Socorros;110;Avaliação secundária
5;Primeiros Socorros;111;Parada cardiorrespiratória
5;Primeiros Socorros;112;Respiração artificial
5;Primeiros Socorros;113;Reanimação cardíaca
5;Primeiros Socorros;114;Quando o atendente estiver sozinho
5;Primeiros Socorros;115;Quando houver dois atendentes
5;Primeiros Socorros;116;Estado de choque
5;Primeiros Socorros;117;Desmaio
5;Primeiros Socorros;118;Convulsões
5;Primeiros Socorros;119;Hemorragia
5;Primeiros Socorros;120;Hemorragia externa
5;Primeiros Socorros;121;Hemorragia interna
5;Primeiros Socorros;122;Hemorragia nasal
5;Primeiros Socorros;123;Fraturas
5;Primeiros Socorros;124;Fraturas fechadas
5;Primeiros Socorros;125;Fraturas abertas ou expostas
5;Primeiros Socorros;126;Fratura da coluna vertebral
5;Primeiros Socorros;127;Fratura de crânio
5;Primeiros Socorros;128;Fratura de costelas
5;Primeiros Socorros;129;Fratura de quadril
5;Primeiros Socorros;130;Queimaduras
5;Primeiros Socorros;131;Ferimentos nos olhos
5;Primeiros Socorros;132;Ferimento no tórax e abdômen
5;Primeiros Socorros;133;Movimentação e transporte de emergência
6;Mecânica Básica;134;Introdução
6;Mecânica Básica;135;Motor
6;Mecânica Básica;136;Combustível
6;Mecânica Básica;137;Lubrificante
6;Mecânica Básica;138;Refrigeração
6;Mecânica Básica;139;Sistema elétrico
6;Mecânica Básica;140;Câmbio e embreagem
6;Mecânica Básica;141;Direção
6;Mecânica Básica;142;Suspensão
6;Mecânica Básica;143;Freios
6;Mecânica Básica;144;Pneus 
6;Mecânica Básica;145;Extintores de incêndio
